"﻿""Series""";Time;Value
yzh mirror;2025-07-14T00:00:00+08:00;2392.4649649735443
yzh mirror;2025-07-14T00:10:00+08:00;1499.0522545027752
yzh mirror;2025-07-14T00:20:00+08:00;1916.094303250783
yzh mirror;2025-07-14T00:30:00+08:00;1208.302658310115
yzh mirror;2025-07-14T00:40:00+08:00;2536.5687803548194
yzh mirror;2025-07-14T00:50:00+08:00;2301.501287436792
yzh mirror;2025-07-14T01:00:00+08:00;13366.959897823193
yzh mirror;2025-07-14T01:10:00+08:00;1504.2321128272538
yzh mirror;2025-07-14T01:20:00+08:00;1754.4535089750373
yzh mirror;2025-07-14T01:30:00+08:00;2282.4834594271874
yzh mirror;2025-07-14T01:40:00+08:00;1930.3253685487234
yzh mirror;2025-07-14T01:50:00+08:00;2461.466695219779
yzh mirror;2025-07-14T02:00:00+08:00;4451.764052389372
yzh mirror;2025-07-14T02:10:00+08:00;2118.051671571828
yzh mirror;2025-07-14T02:20:00+08:00;955.1111006706734
yzh mirror;2025-07-14T02:30:00+08:00;3319.5683798946648
yzh mirror;2025-07-14T02:40:00+08:00;2621.0818653677143
yzh mirror;2025-07-14T02:50:00+08:00;1331.351343484746
yzh mirror;2025-07-14T03:00:00+08:00;4170.315135131283
yzh mirror;2025-07-14T03:10:00+08:00;2924.1173758053724
yzh mirror;2025-07-14T03:20:00+08:00;3987.6152558096123
yzh mirror;2025-07-14T03:30:00+08:00;923.1584437985823
yzh mirror;2025-07-14T03:40:00+08:00;2304.9379463524847
yzh mirror;2025-07-14T03:50:00+08:00;3001.056073599605
yzh mirror;2025-07-14T04:00:00+08:00;3271.412855004965
yzh mirror;2025-07-14T04:10:00+08:00;4810.061139118233
yzh mirror;2025-07-14T04:20:00+08:00;3690.683937899749
yzh mirror;2025-07-14T04:30:00+08:00;3900.095811989063
yzh mirror;2025-07-14T04:40:00+08:00;3405.4136386970495
yzh mirror;2025-07-14T04:50:00+08:00;2970.203076788919
yzh mirror;2025-07-14T05:00:00+08:00;11733.768154342426
yzh mirror;2025-07-14T05:10:00+08:00;4641.369737000938
yzh mirror;2025-07-14T05:20:00+08:00;3633.1002883092347
yzh mirror;2025-07-14T05:30:00+08:00;6437.431718843744
yzh mirror;2025-07-14T05:40:00+08:00;6062.117398036187
yzh mirror;2025-07-14T05:50:00+08:00;3754.7995227466176
yzh mirror;2025-07-14T06:00:00+08:00;7575.361092977691
yzh mirror;2025-07-14T06:10:00+08:00;2343.957281956409
yzh mirror;2025-07-14T06:20:00+08:00;4024.4996870825116
yzh mirror;2025-07-14T06:30:00+08:00;4443.422710791914
yzh mirror;2025-07-14T06:40:00+08:00;3773.7177776345115
yzh mirror;2025-07-14T06:50:00+08:00;3711.4897589193483
yzh mirror;2025-07-14T07:00:00+08:00;3028.9268084714354
yzh mirror;2025-07-14T07:10:00+08:00;3208.1948316988655
yzh mirror;2025-07-14T07:20:00+08:00;3750.293995269002
yzh mirror;2025-07-14T07:30:00+08:00;4415.423720841458
yzh mirror;2025-07-14T07:40:00+08:00;1904.3787488936478
yzh mirror;2025-07-14T07:50:00+08:00;3014.569785492415
yzh mirror;2025-07-14T08:00:00+08:00;2915.8901576658523
yzh mirror;2025-07-14T08:10:00+08:00;1058.7360213656486
yzh mirror;2025-07-14T08:20:00+08:00;1790.3179310193468
yzh mirror;2025-07-14T08:30:00+08:00;1651.3825851440906
yzh mirror;2025-07-14T08:40:00+08:00;1912.2178103165504
yzh mirror;2025-07-14T08:50:00+08:00;1947.7497928208181
yzh mirror;2025-07-14T09:00:00+08:00;1466.0417791830196
yzh mirror;2025-07-14T09:10:00+08:00;2229.3180070942753
yzh mirror;2025-07-14T09:20:00+08:00;2117.230821265878
yzh mirror;2025-07-14T09:30:00+08:00;2524.0631420646287
yzh mirror;2025-07-14T09:40:00+08:00;2861.451312905756
yzh mirror;2025-07-14T09:50:00+08:00;1666.0083855854336
yzh mirror;2025-07-14T10:00:00+08:00;1600.8648802433331
yzh mirror;2025-07-14T10:10:00+08:00;1214.0080508937745
yzh mirror;2025-07-14T10:20:00+08:00;1596.3143660152932
yzh mirror;2025-07-14T10:30:00+08:00;966.1276924346802
yzh mirror;2025-07-14T10:40:00+08:00;959.960077142546
yzh mirror;2025-07-14T10:50:00+08:00;947.7992631077184
yzh mirror;2025-07-14T11:00:00+08:00;968.5399424572884
yzh mirror;2025-07-14T11:10:00+08:00;1796.2069016683095
yzh mirror;2025-07-14T11:20:00+08:00;1761.3498108425501
yzh mirror;2025-07-14T11:30:00+08:00;1979.951652301946
yzh mirror;2025-07-14T11:40:00+08:00;4790.2177457663565
yzh mirror;2025-07-14T11:50:00+08:00;1455.3939063222506
yzh mirror;2025-07-14T12:00:00+08:00;1748.7909295927684
yzh mirror;2025-07-14T12:10:00+08:00;1430.9916751795392
yzh mirror;2025-07-14T12:20:00+08:00;1214.7914028281025
yzh mirror;2025-07-14T12:30:00+08:00;1526.2774678593819
yzh mirror;2025-07-14T12:40:00+08:00;984.2511934117192
yzh mirror;2025-07-14T12:50:00+08:00;966.6904968013549
yzh mirror;2025-07-14T13:00:00+08:00;1226.3109129203633
yzh mirror;2025-07-14T13:10:00+08:00;1890.9361883701824
yzh mirror;2025-07-14T13:20:00+08:00;1617.0764994286596
yzh mirror;2025-07-14T13:30:00+08:00;987.9993732436246
yzh mirror;2025-07-14T13:40:00+08:00;2289.3019314884687
yzh mirror;2025-07-14T13:50:00+08:00;1896.4525727570172
yzh mirror;2025-07-14T14:00:00+08:00;2169.6915288953523
yzh mirror;2025-07-14T14:10:00+08:00;1347.2518606592594
yzh mirror;2025-07-14T14:20:00+08:00;1262.87544886029
yzh mirror;2025-07-14T14:30:00+08:00;988.1500095484855
yzh mirror;2025-07-14T14:40:00+08:00;1697.4621205649278
yzh mirror;2025-07-14T14:50:00+08:00;1142.4749689521539
yzh mirror;2025-07-14T15:00:00+08:00;1196.5921940075293
yzh mirror;2025-07-14T15:10:00+08:00;1256.4843967257607
yzh mirror;2025-07-14T15:20:00+08:00;991.4270993283487
yzh mirror;2025-07-14T15:30:00+08:00;1277.8670278756006
yzh mirror;2025-07-14T15:40:00+08:00;2211.1657597272524
yzh mirror;2025-07-14T15:50:00+08:00;944.8951889171419
yzh mirror;2025-07-14T16:00:00+08:00;1360.6047232543456
yzh mirror;2025-07-14T16:10:00+08:00;1897.1778035144257
yzh mirror;2025-07-14T16:20:00+08:00;2263.792657790043
yzh mirror;2025-07-14T16:30:00+08:00;34109.276874739284
yzh mirror;2025-07-14T16:40:00+08:00;1784.7959618736245
yzh mirror;2025-07-14T16:50:00+08:00;1282.962522502106
yzh mirror;2025-07-14T17:00:00+08:00;2340.1041184992314
yzh mirror;2025-07-14T17:10:00+08:00;1851.9777945947371
yzh mirror;2025-07-14T17:20:00+08:00;996.4162110354268
yzh mirror;2025-07-14T17:30:00+08:00;1572.0774705767749
yzh mirror;2025-07-14T17:40:00+08:00;973.820950598001
yzh mirror;2025-07-14T17:50:00+08:00;1598.4462273173626
yzh mirror;2025-07-14T18:00:00+08:00;991.3674759676155
yzh mirror;2025-07-14T18:10:00+08:00;1373.415858740846
yzh mirror;2025-07-14T18:20:00+08:00;1175.6279236576875
yzh mirror;2025-07-14T18:30:00+08:00;996.9565060922321
yzh mirror;2025-07-14T18:40:00+08:00;990.5425094694642
yzh mirror;2025-07-14T18:50:00+08:00;809.3980148277981
yzh mirror;2025-07-14T19:00:00+08:00;985.9852949963372
yzh mirror;2025-07-14T19:10:00+08:00;851.802515694159
yzh mirror;2025-07-14T19:20:00+08:00;871.457908714505
yzh mirror;2025-07-14T19:30:00+08:00;852.9397482533846
yzh mirror;2025-07-14T19:40:00+08:00;809.4309908241964
yzh mirror;2025-07-14T19:50:00+08:00;691.4777649210907
yzh mirror;2025-07-14T20:00:00+08:00;713.5651216766132
yzh mirror;2025-07-14T20:10:00+08:00;863.2189568046698
yzh mirror;2025-07-14T20:20:00+08:00;936.6593220056761
yzh mirror;2025-07-14T20:30:00+08:00;857.557607281998
yzh mirror;2025-07-14T20:40:00+08:00;885.5419981841394
yzh mirror;2025-07-14T20:50:00+08:00;1318.479245921977
yzh mirror;2025-07-14T21:00:00+08:00;2394.691211988621
yzh mirror;2025-07-14T21:10:00+08:00;1093.5409202629537
yzh mirror;2025-07-14T21:20:00+08:00;1771.3322838645624
yzh mirror;2025-07-14T21:30:00+08:00;1314.3306471284495
yzh mirror;2025-07-14T21:40:00+08:00;1560.827539724267
yzh mirror;2025-07-14T21:50:00+08:00;1849.1178825125521
yzh mirror;2025-07-14T22:00:00+08:00;1408.9823331812386
yzh mirror;2025-07-14T22:10:00+08:00;1510.4011339366107
yzh mirror;2025-07-14T22:20:00+08:00;937.1300820522051
yzh mirror;2025-07-14T22:30:00+08:00;1070.3090212732645
yzh mirror;2025-07-14T22:40:00+08:00;2197.337485113677
yzh mirror;2025-07-14T22:50:00+08:00;1613.963850776826
yzh mirror;2025-07-14T23:00:00+08:00;1013.7085176612283
yzh mirror;2025-07-14T23:10:00+08:00;1250.6104099440465
yzh mirror;2025-07-14T23:20:00+08:00;1539.381497487234
yzh mirror;2025-07-14T23:30:00+08:00;929.6556875436802
yzh mirror;2025-07-14T23:40:00+08:00;2023.859799135074
yzh mirror;2025-07-14T23:50:00+08:00;1742.658506943522
yzh mirror;2025-07-15T00:00:00+08:00;1498.871258410551
yzh mirror;2025-07-15T00:10:00+08:00;1554.350376084984
yzh mirror;2025-07-15T00:20:00+08:00;1394.579873888856
yzh mirror;2025-07-15T00:30:00+08:00;1738.0669385254316
yzh mirror;2025-07-15T00:40:00+08:00;2970.8713123785387
yzh mirror;2025-07-15T00:50:00+08:00;3476.0728931936255
yzh mirror;2025-07-15T01:00:00+08:00;14552.472422384308
yzh mirror;2025-07-15T01:10:00+08:00;4651.271492083917
yzh mirror;2025-07-15T01:20:00+08:00;2215.550308062743
yzh mirror;2025-07-15T01:30:00+08:00;2413.6171490769666
yzh mirror;2025-07-15T01:40:00+08:00;4728.679591687594
yzh mirror;2025-07-15T01:50:00+08:00;3517.591270570895
yzh mirror;2025-07-15T02:00:00+08:00;4216.831486134892
yzh mirror;2025-07-15T02:10:00+08:00;2201.358455066988
yzh mirror;2025-07-15T02:20:00+08:00;1298.5212490313281
yzh mirror;2025-07-15T02:30:00+08:00;876.7833839952468
yzh mirror;2025-07-15T02:40:00+08:00;910.1316505639112
yzh mirror;2025-07-15T02:50:00+08:00;1084.8528568167555
yzh mirror;2025-07-15T03:00:00+08:00;599.7171348406605
yzh mirror;2025-07-15T03:10:00+08:00;977.4529371443141
yzh mirror;2025-07-15T03:20:00+08:00;2320.628749677141
yzh mirror;2025-07-15T03:30:00+08:00;2265.005675010066
yzh mirror;2025-07-15T03:40:00+08:00;2446.8748621973646
yzh mirror;2025-07-15T03:50:00+08:00;3517.0287317888947
yzh mirror;2025-07-15T04:00:00+08:00;6253.785190863624
yzh mirror;2025-07-15T04:10:00+08:00;4675.018544415212
yzh mirror;2025-07-15T04:20:00+08:00;6904.805663709536
yzh mirror;2025-07-15T04:30:00+08:00;4979.867629821298
yzh mirror;2025-07-15T04:40:00+08:00;4869.849553252716
yzh mirror;2025-07-15T04:50:00+08:00;4449.069373290859
yzh mirror;2025-07-15T05:00:00+08:00;8004.086738718597
yzh mirror;2025-07-15T05:10:00+08:00;5894.8591335712645
yzh mirror;2025-07-15T05:20:00+08:00;4633.565476521968
yzh mirror;2025-07-15T05:30:00+08:00;6271.172402889849
yzh mirror;2025-07-15T05:40:00+08:00;5637.878316196367
yzh mirror;2025-07-15T05:50:00+08:00;2949.623173587968
yzh mirror;2025-07-15T06:00:00+08:00;4277.928344511081
yzh mirror;2025-07-15T06:10:00+08:00;3277.427297289553
yzh mirror;2025-07-15T06:20:00+08:00;4137.907062085869
yzh mirror;2025-07-15T06:30:00+08:00;5641.538972950302
yzh mirror;2025-07-15T06:40:00+08:00;5903.542009768298
yzh mirror;2025-07-15T06:50:00+08:00;7672.687531102028
yzh mirror;2025-07-15T07:00:00+08:00;2479.9696515205387
yzh mirror;2025-07-15T07:10:00+08:00;6116.42177340247
yzh mirror;2025-07-15T07:20:00+08:00;4724.562175630068
yzh mirror;2025-07-15T07:30:00+08:00;2403.117861325497
yzh mirror;2025-07-15T07:40:00+08:00;3825.0546049338677
yzh mirror;2025-07-15T07:50:00+08:00;1710.4388193435975
yzh mirror;2025-07-15T08:00:00+08:00;3031.442656473252
yzh mirror;2025-07-15T08:10:00+08:00;2028.4580199285492
yzh mirror;2025-07-15T08:20:00+08:00;2182.6378310214905
yzh mirror;2025-07-15T08:30:00+08:00;1847.1169504264958
yzh mirror;2025-07-15T08:40:00+08:00;3483.0701314126586
yzh mirror;2025-07-15T08:50:00+08:00;2494.909483279121
yzh mirror;2025-07-15T09:00:00+08:00;4044.3127790390463
yzh mirror;2025-07-15T09:10:00+08:00;2395.2765039427713
yzh mirror;2025-07-15T09:20:00+08:00;2111.9143059141034
yzh mirror;2025-07-15T09:30:00+08:00;2336.01398048244
yzh mirror;2025-07-15T09:40:00+08:00;2618.1734257597577
yzh mirror;2025-07-15T09:50:00+08:00;2298.3279151973084
yzh mirror;2025-07-15T10:00:00+08:00;2106.0045303316147
yzh mirror;2025-07-15T10:10:00+08:00;882.4425394738637
yzh mirror;2025-07-15T10:20:00+08:00;919.3708625533097
yzh mirror;2025-07-15T10:30:00+08:00;1295.670291559243
yzh mirror;2025-07-15T10:40:00+08:00;1537.5397365294325
yzh mirror;2025-07-15T10:50:00+08:00;1427.6001536049914
yzh mirror;2025-07-15T11:00:00+08:00;1473.936295640324
yzh mirror;2025-07-15T11:10:00+08:00;1278.3647667529724
yzh mirror;2025-07-15T11:20:00+08:00;1087.20312235079
yzh mirror;2025-07-15T11:30:00+08:00;1632.7868061884583
yzh mirror;2025-07-15T11:40:00+08:00;1455.41532866152
yzh mirror;2025-07-15T11:50:00+08:00;2324.9421102151855
yzh mirror;2025-07-15T12:00:00+08:00;1866.3154421504155
yzh mirror;2025-07-15T12:10:00+08:00;1373.546084281064
yzh mirror;2025-07-15T12:20:00+08:00;1673.9660894023514
yzh mirror;2025-07-15T12:30:00+08:00;980.2403862586559
yzh mirror;2025-07-15T12:40:00+08:00;1586.2275022031502
yzh mirror;2025-07-15T12:50:00+08:00;1407.5430197646738
yzh mirror;2025-07-15T13:00:00+08:00;1393.65249508148
yzh mirror;2025-07-15T13:10:00+08:00;2125.503862643421
yzh mirror;2025-07-15T13:20:00+08:00;1486.590377656489
yzh mirror;2025-07-15T13:30:00+08:00;1432.053757573127
yzh mirror;2025-07-15T13:40:00+08:00;1599.7611598796486
yzh mirror;2025-07-15T13:50:00+08:00;1645.0824757355558
yzh mirror;2025-07-15T14:00:00+08:00;1393.2782028204408
yzh mirror;2025-07-15T14:10:00+08:00;1337.5165936016983
yzh mirror;2025-07-15T14:20:00+08:00;2172.686656738733
yzh mirror;2025-07-15T14:30:00+08:00;1465.5300063243594
yzh mirror;2025-07-15T14:40:00+08:00;2302.966147622326
yzh mirror;2025-07-15T14:50:00+08:00;2144.3990987107063
yzh mirror;2025-07-15T15:00:00+08:00;1974.7688104028698
yzh mirror;2025-07-15T15:10:00+08:00;1026.0413648946562
yzh mirror;2025-07-15T15:20:00+08:00;1308.4074284749897
yzh mirror;2025-07-15T15:30:00+08:00;9240.14623012325
yzh mirror;2025-07-15T15:40:00+08:00;1969.0411311517178
yzh mirror;2025-07-15T15:50:00+08:00;1844.1525889576437
yzh mirror;2025-07-15T16:00:00+08:00;1929.780142138901
yzh mirror;2025-07-15T16:10:00+08:00;4099.34970568216
yzh mirror;2025-07-15T16:20:00+08:00;2083.9243026264803
yzh mirror;2025-07-15T16:30:00+08:00;1555.0606256502638
yzh mirror;2025-07-15T16:40:00+08:00;1738.4683142057784
yzh mirror;2025-07-15T16:50:00+08:00;1778.4677911528822
yzh mirror;2025-07-15T17:00:00+08:00;2088.279700366542
yzh mirror;2025-07-15T17:10:00+08:00;1706.6546328713343
yzh mirror;2025-07-15T17:20:00+08:00;1798.3203964794982
yzh mirror;2025-07-15T17:30:00+08:00;1889.7094013893538
yzh mirror;2025-07-15T17:40:00+08:00;1095.4480845458324
yzh mirror;2025-07-15T17:50:00+08:00;1130.8221505580916
yzh mirror;2025-07-15T18:00:00+08:00;859.0743252481669
yzh mirror;2025-07-15T18:10:00+08:00;689.7767043205673
yzh mirror;2025-07-15T18:20:00+08:00;946.1906483553053
yzh mirror;2025-07-15T18:30:00+08:00;900.0284698374401
yzh mirror;2025-07-15T18:40:00+08:00;744.6947287752316
yzh mirror;2025-07-15T18:50:00+08:00;847.4041779213665
yzh mirror;2025-07-15T19:00:00+08:00;836.4857718906233
yzh mirror;2025-07-15T19:10:00+08:00;856.5258166418784
yzh mirror;2025-07-15T19:20:00+08:00;804.4528677886374
yzh mirror;2025-07-15T19:30:00+08:00;881.5135216859846
yzh mirror;2025-07-15T19:40:00+08:00;911.8862807837932
yzh mirror;2025-07-15T19:50:00+08:00;911.2600089906325
yzh mirror;2025-07-15T20:00:00+08:00;928.4567787728556
yzh mirror;2025-07-15T20:10:00+08:00;978.0550882925985
yzh mirror;2025-07-15T20:20:00+08:00;1191.8927545070362
yzh mirror;2025-07-15T20:30:00+08:00;975.13329348157
yzh mirror;2025-07-15T20:40:00+08:00;1123.240662180961
yzh mirror;2025-07-15T20:50:00+08:00;1022.44177689622
yzh mirror;2025-07-15T21:00:00+08:00;5792.407072621629
yzh mirror;2025-07-15T21:10:00+08:00;1142.5308925778588
yzh mirror;2025-07-15T21:20:00+08:00;1298.2494895402056
yzh mirror;2025-07-15T21:30:00+08:00;1033.325020243396
yzh mirror;2025-07-15T21:40:00+08:00;946.6525050734779
yzh mirror;2025-07-15T21:50:00+08:00;1821.926897902803
yzh mirror;2025-07-15T22:00:00+08:00;1383.6749541477461
yzh mirror;2025-07-15T22:10:00+08:00;987.0324973874461
yzh mirror;2025-07-15T22:20:00+08:00;979.7086470509016
yzh mirror;2025-07-15T22:30:00+08:00;1306.3595951096604
yzh mirror;2025-07-15T22:40:00+08:00;876.8848840910089
yzh mirror;2025-07-15T22:50:00+08:00;914.5468521750272
yzh mirror;2025-07-15T23:00:00+08:00;992.1719287248142
yzh mirror;2025-07-15T23:10:00+08:00;794.2055653922587
yzh mirror;2025-07-15T23:20:00+08:00;951.4398413365302
yzh mirror;2025-07-15T23:30:00+08:00;971.2025763032284
yzh mirror;2025-07-15T23:40:00+08:00;1250.965591975307
yzh mirror;2025-07-15T23:50:00+08:00;969.1711018391406
yzh mirror;2025-07-16T00:00:00+08:00;1321.168644613048
yzh mirror;2025-07-16T00:10:00+08:00;1110.5942911443801
yzh mirror;2025-07-16T00:20:00+08:00;2280.8576316083972
yzh mirror;2025-07-16T00:30:00+08:00;2260.917832679399
yzh mirror;2025-07-16T00:40:00+08:00;2374.377354790704
yzh mirror;2025-07-16T00:50:00+08:00;2085.1471984451778
yzh mirror;2025-07-16T01:00:00+08:00;6029.151485546501
yzh mirror;2025-07-16T01:10:00+08:00;4272.864622797346
yzh mirror;2025-07-16T01:20:00+08:00;3625.5208911950435
