异常时间;异常值;异常残差;异常类型;异常强度;异常偏离度;异常前趋势;异常后趋势;整体趋势;窗口开始;窗口结束;窗口数据点数;窗口均值;窗口标准差
2025-07-14 01:10:00+08:00;1504.2321128272538;-3403.292123391192;Low_Anomaly;3403.292123391192;-0.5042201475019437;强烈上升;强烈上升;强烈下降;2025-07-14 00:40:00+08:00;2025-07-14 01:40:00+08:00;7;3668.0749164847157;4291.464381932737
2025-07-14 16:30:00+08:00;34109.276874739284;32615.52767261244;High_Anomaly;32615.52767261244;2.2665517701329843;强烈上升;强烈上升;上升;2025-07-14 16:00:00+08:00;2025-07-14 17:00:00+08:00;7;6434.102094596152;12210.25486592762
2025-07-15 15:30:00+08:00;9240.14623012325;6057.796919694211;High_Anomaly;6057.796919694211;2.2489441414062807;强烈下降;下降;强烈上升;2025-07-15 15:00:00+08:00;2025-07-15 16:00:00+08:00;7;2756.0482423062895;2883.1743165316716
2025-07-16 01:00:00+08:00;6029.151485546501;-5093.5064002403615;Low_Anomaly;5093.5064002403615;1.8376034234624419;强烈下降;强烈下降;强烈上升;2025-07-16 00:30:00+08:00;2025-07-16 01:30:00+08:00;7;3201.7039135186374;1538.6603746636158
2025-07-18 01:00:00+08:00;2291.796181021234;-7640.230176509782;Low_Anomaly;7640.230176509782;-0.3449346635164243;强烈下降;强烈下降;强烈上升;2025-07-18 00:30:00+08:00;2025-07-18 01:30:00+08:00;7;2828.168632585256;1554.9972452637605
2025-07-18 01:40:00+08:00;8312.530339648587;5070.3125765112445;High_Anomaly;5070.3125765112445;1.8560183027236419;强烈下降;强烈下降;强烈下降;2025-07-18 01:10:00+08:00;2025-07-18 02:10:00+08:00;7;3871.2378986547915;2392.9141401657266
2025-07-19 01:00:00+08:00;2258.377913008815;-7823.224731448863;Low_Anomaly;7823.224731448863;-0.5931946469196746;平稳;平稳;强烈上升;2025-07-19 00:30:00+08:00;2025-07-19 01:30:00+08:00;7;3667.1337823182425;2374.862748045313
2025-07-19 07:40:00+08:00;2291.74468175575;-3620.995713647707;Low_Anomaly;3620.995713647707;-0.33973449607237305;强烈上升;强烈上升;强烈上升;2025-07-19 07:10:00+08:00;2025-07-19 08:10:00+08:00;7;2499.4727589275603;611.4424045050703
2025-07-20 01:00:00+08:00;5523.89614319348;-4775.543011675783;Low_Anomaly;4775.543011675783;1.046532392365645;强烈上升;强烈上升;强烈上升;2025-07-20 00:30:00+08:00;2025-07-20 01:30:00+08:00;7;3698.0531048746006;1744.659842006069
2025-07-20 04:10:00+08:00;9595.099746667433;5390.560058839186;High_Anomaly;5390.560058839186;1.9490784787732627;强烈上升;强烈下降;下降;2025-07-20 03:40:00+08:00;2025-07-20 04:40:00+08:00;7;4008.0825595191263;2866.4916513083344
2025-07-20 05:00:00+08:00;8755.750504824384;8196.836340734584;High_Anomaly;8196.836340734584;1.8901342017850753;强烈上升;强烈上升;强烈上升;2025-07-20 04:30:00+08:00;2025-07-20 05:30:00+08:00;7;4126.803371394027;2449.0044828873524
2025-07-20 05:40:00+08:00;7866.968460325672;4186.92147040055;High_Anomaly;4186.92147040055;1.1460343627405916;强烈上升;强烈下降;强烈上升;2025-07-20 05:10:00+08:00;2025-07-20 06:10:00+08:00;7;5688.864897889607;1900.5569407425223
